,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17,turn 18,turn 19,turn 20,turn 21,turn 22,turn 23,turn 24,turn 25,turn 26,turn 27,turn 28,turn 29,turn 30,turn 31,turn 32
game: 0,1.0,0.25,0.2,0.14285714285714285,0.023809523809523808,0.14285714285714285,0.14285714285714285,0.05263157894736842,0.0625,0.125,0.1,0.25,0.25,,,,,,,,,,,,,,,,,,,,
game: 1,0.5,0.5,0.08333333333333333,0.125,0.25,0.2,0.2,0.14285714285714285,0.125,0.045454545454545456,,,,,,,,,,,,,,,,,,,,,,,
game: 2,0.5,0.3333333333333333,0.16666666666666666,0.2,0.07692307692307693,0.07692307692307693,0.08333333333333333,0.09090909090909091,0.07142857142857142,0.010416666666666666,0.08333333333333333,0.03333333333333333,0.16666666666666666,0.16666666666666666,0.1,0.125,0.25,0.0625,0.25,0.09090909090909091,0.125,0.125,0.5,0.5,,,,,,,,,
game: 3,0.5,0.3333333333333333,0.125,0.14285714285714285,0.07692307692307693,0.1,0.08333333333333333,0.038461538461538464,0.0625,0.025,0.05,0.02631578947368421,0.16666666666666666,0.14285714285714285,0.08333333333333333,0.16666666666666666,,,,,,,,,,,,,,,,,
game: 4,1.0,0.25,0.14285714285714285,0.3333333333333333,0.25,0.16666666666666666,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,
game: 5,0.5,0.3333333333333333,0.125,0.14285714285714285,0.08333333333333333,0.022727272727272728,0.015151515151515152,0.05555555555555555,0.07142857142857142,0.04,0.16666666666666666,0.1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,,,,,,
game: 6,1.0,0.25,0.125,0.2,0.1111111111111111,0.14285714285714285,0.1,0.1,0.2,0.125,,,,,,,,,,,,,,,,,,,,,,,
game: 7,0.5,0.3333333333333333,0.25,0.2,0.1111111111111111,0.0625,0.045454545454545456,0.047619047619047616,0.1,0.06666666666666667,0.047619047619047616,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,
game: 8,1.0,0.3333333333333333,0.3333333333333333,0.2,0.1111111111111111,0.08333333333333333,0.1111111111111111,0.08333333333333333,0.022222222222222223,0.058823529411764705,0.06666666666666667,0.05,0.125,0.08333333333333333,0.05,,,,,,,,,,,,,,,,,,
game: 9,0.5,0.1111111111111111,0.2,0.14285714285714285,0.14285714285714285,0.2,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.125,0.025,0.07142857142857142,0.125,0.25,0.25,0.25,0.25,0.25,0.1,0.1111111111111111,0.125,0.25,0.125,0.25,0.25,0.25,0.5,0.5,,,,,
game: 10,1.0,0.25,0.3333333333333333,0.125,0.2,0.16666666666666666,0.041666666666666664,0.1111111111111111,0.2,0.125,0.25,0.125,0.25,0.25,0.25,0.25,0.25,0.25,0.05,0.25,,,,,,,,,,,,,
game: 11,0.5,0.3333333333333333,0.2,0.25,0.08333333333333333,0.08333333333333333,0.07692307692307693,0.14285714285714285,0.1111111111111111,0.047619047619047616,,,,,,,,,,,,,,,,,,,,,,,
